date,flashbots_unscaled,flashbots_monthly,isPartial,scale,flashbots
2019-01-01,0,,,,
2019-01-02,0,,,,
2019-01-03,0,,,,
2019-01-04,0,,,,
2019-01-05,78,,,,
2019-01-06,0,0.0,False,0.0,0.0
2019-01-07,0,0.0,,0.0,0.0
2019-01-08,0,0.0,,0.0,0.0
2019-01-09,55,0.0,,0.0,0.0
2019-01-10,0,0.0,,0.0,0.0
2019-01-11,0,0.0,,0.0,0.0
2019-01-12,0,0.0,,0.0,0.0
2019-01-13,38,16.0,False,0.16,6.08
2019-01-14,0,16.0,,0.16,0.0
2019-01-15,0,16.0,,0.16,0.0
2019-01-16,100,16.0,,0.16,16.0
2019-01-17,0,16.0,,0.16,0.0
2019-01-18,0,16.0,,0.16,0.0
2019-01-19,43,16.0,,0.16,6.88
2019-01-20,0,0.0,False,0.0,0.0
2019-01-21,0,0.0,,0.0,0.0
2019-01-22,0,0.0,,0.0,0.0
2019-01-23,0,0.0,,0.0,0.0
2019-01-24,44,0.0,,0.0,0.0
2019-01-25,0,0.0,,0.0,0.0
2019-01-26,0,0.0,,0.0,0.0
2019-01-27,0,100.0,False,1.0,0.0
2019-01-28,0,100.0,,1.0,0.0
2019-01-29,0,100.0,,1.0,0.0
2019-01-30,0,100.0,,1.0,0.0
2019-01-31,0,100.0,,1.0,0.0
2019-02-01,0,100.0,,1.0,0.0
2019-02-02,0,100.0,,1.0,0.0
2019-02-03,0,0.0,False,0.0,0.0
2019-02-04,0,0.0,,0.0,0.0
2019-02-05,0,0.0,,0.0,0.0
2019-02-06,0,0.0,,0.0,0.0
2019-02-07,0,0.0,,0.0,0.0
2019-02-08,19,0.0,,0.0,0.0
2019-02-09,0,0.0,,0.0,0.0
2019-02-10,0,0.0,False,0.0,0.0
2019-02-11,0,0.0,,0.0,0.0
2019-02-12,0,0.0,,0.0,0.0
2019-02-13,0,0.0,,0.0,0.0
2019-02-14,0,0.0,,0.0,0.0
2019-02-15,0,0.0,,0.0,0.0
2019-02-16,0,0.0,,0.0,0.0
2019-02-17,0,0.0,False,0.0,0.0
2019-02-18,0,0.0,,0.0,0.0
2019-02-19,69,0.0,,0.0,0.0
2019-02-20,0,0.0,,0.0,0.0
2019-02-21,0,0.0,,0.0,0.0
2019-02-22,0,0.0,,0.0,0.0
2019-02-23,0,0.0,,0.0,0.0
2019-02-24,0,0.0,False,0.0,0.0
2019-02-25,24,0.0,,0.0,0.0
2019-02-26,45,0.0,,0.0,0.0
2019-02-27,66,0.0,,0.0,0.0
2019-02-28,100,0.0,,0.0,0.0
2019-03-01,0,0.0,,0.0,0.0
2019-03-02,0,0.0,,0.0,0.0
2019-03-03,22,0.0,False,0.0,0.0
2019-03-04,36,0.0,,0.0,0.0
2019-03-05,0,0.0,,0.0,0.0
2019-03-06,100,0.0,,0.0,0.0
2019-03-07,35,0.0,,0.0,0.0
2019-03-08,53,0.0,,0.0,0.0
2019-03-09,0,0.0,,0.0,0.0
2019-03-10,0,0.0,False,0.0,0.0
2019-03-11,0,0.0,,0.0,0.0
2019-03-12,0,0.0,,0.0,0.0
2019-03-13,0,0.0,,0.0,0.0
2019-03-14,0,0.0,,0.0,0.0
2019-03-15,20,0.0,,0.0,0.0
2019-03-16,60,0.0,,0.0,0.0
2019-03-17,0,18.0,False,0.18,0.0
2019-03-18,94,18.0,,0.18,16.919999999999998
2019-03-19,0,18.0,,0.18,0.0
2019-03-20,0,18.0,,0.18,0.0
2019-03-21,0,18.0,,0.18,0.0
2019-03-22,0,18.0,,0.18,0.0
2019-03-23,0,18.0,,0.18,0.0
2019-03-24,0,0.0,False,0.0,0.0
2019-03-25,0,0.0,,0.0,0.0
2019-03-26,0,0.0,,0.0,0.0
2019-03-27,0,0.0,,0.0,0.0
2019-03-28,39,0.0,,0.0,0.0
2019-03-29,0,0.0,,0.0,0.0
2019-03-30,0,0.0,,0.0,0.0
2019-03-31,0,12.0,False,0.12,0.0
2019-04-01,29,12.0,,0.12,3.48
2019-04-02,0,12.0,,0.12,0.0
2019-04-03,38,12.0,,0.12,4.56
2019-04-04,0,12.0,,0.12,0.0
2019-04-05,26,12.0,,0.12,3.12
2019-04-06,65,12.0,,0.12,7.8
2019-04-07,100,16.0,False,0.16,16.0
2019-04-08,23,16.0,,0.16,3.68
2019-04-09,0,16.0,,0.16,0.0
2019-04-10,0,16.0,,0.16,0.0
2019-04-11,21,16.0,,0.16,3.36
2019-04-12,0,16.0,,0.16,0.0
2019-04-13,0,16.0,,0.16,0.0
2019-04-14,0,0.0,False,0.0,0.0
2019-04-15,0,0.0,,0.0,0.0
2019-04-16,0,0.0,,0.0,0.0
2019-04-17,0,0.0,,0.0,0.0
2019-04-18,0,0.0,,0.0,0.0
2019-04-19,35,0.0,,0.0,0.0
2019-04-20,0,0.0,,0.0,0.0
2019-04-21,0,0.0,False,0.0,0.0
2019-04-22,18,0.0,,0.0,0.0
2019-04-23,0,0.0,,0.0,0.0
2019-04-24,21,0.0,,0.0,0.0
2019-04-25,0,0.0,,0.0,0.0
2019-04-26,0,0.0,,0.0,0.0
2019-04-27,0,0.0,,0.0,0.0
2019-04-28,0,0.0,False,0.0,0.0
2019-04-29,0,0.0,,0.0,0.0
2019-04-30,0,0.0,,0.0,0.0
2019-05-01,28,0.0,,0.0,0.0
2019-05-02,0,0.0,,0.0,0.0
2019-05-03,100,0.0,,0.0,0.0
2019-05-04,0,0.0,,0.0,0.0
2019-05-05,0,34.0,False,0.34,0.0
2019-05-06,0,34.0,,0.34,0.0
2019-05-07,0,34.0,,0.34,0.0
2019-05-08,0,34.0,,0.34,0.0
2019-05-09,0,34.0,,0.34,0.0
2019-05-10,50,34.0,,0.34,17.0
2019-05-11,0,34.0,,0.34,0.0
2019-05-12,47,0.0,False,0.0,0.0
2019-05-13,0,0.0,,0.0,0.0
2019-05-14,35,0.0,,0.0,0.0
2019-05-15,0,0.0,,0.0,0.0
2019-05-16,0,0.0,,0.0,0.0
2019-05-17,37,0.0,,0.0,0.0
2019-05-18,0,0.0,,0.0,0.0
2019-05-19,69,0.0,False,0.0,0.0
2019-05-20,0,0.0,,0.0,0.0
2019-05-21,0,0.0,,0.0,0.0
2019-05-22,0,0.0,,0.0,0.0
2019-05-23,0,0.0,,0.0,0.0
2019-05-24,0,0.0,,0.0,0.0
2019-05-25,0,0.0,,0.0,0.0
2019-05-26,0,0.0,False,0.0,0.0
2019-05-27,0,0.0,,0.0,0.0
2019-05-28,0,0.0,,0.0,0.0
2019-05-29,0,0.0,,0.0,0.0
2019-05-30,0,0.0,,0.0,0.0
2019-05-31,27,0.0,,0.0,0.0
2019-06-01,0,0.0,,0.0,0.0
2019-06-02,91,0.0,False,0.0,0.0
2019-06-03,100,0.0,,0.0,0.0
2019-06-04,0,0.0,,0.0,0.0
2019-06-05,0,0.0,,0.0,0.0
2019-06-06,0,0.0,,0.0,0.0
2019-06-07,0,0.0,,0.0,0.0
2019-06-08,0,0.0,,0.0,0.0
2019-06-09,0,0.0,False,0.0,0.0
2019-06-10,0,0.0,,0.0,0.0
2019-06-11,0,0.0,,0.0,0.0
2019-06-12,38,0.0,,0.0,0.0
2019-06-13,0,0.0,,0.0,0.0
2019-06-14,0,0.0,,0.0,0.0
2019-06-15,0,0.0,,0.0,0.0
2019-06-16,0,0.0,False,0.0,0.0
2019-06-17,0,0.0,,0.0,0.0
2019-06-18,0,0.0,,0.0,0.0
2019-06-19,0,0.0,,0.0,0.0
2019-06-20,0,0.0,,0.0,0.0
2019-06-21,0,0.0,,0.0,0.0
2019-06-22,0,0.0,,0.0,0.0
2019-06-23,0,0.0,False,0.0,0.0
2019-06-24,0,0.0,,0.0,0.0
2019-06-25,0,0.0,,0.0,0.0
2019-06-26,0,0.0,,0.0,0.0
2019-06-27,53,0.0,,0.0,0.0
2019-06-28,68,0.0,,0.0,0.0
2019-06-29,0,0.0,,0.0,0.0
2019-06-30,0,0.0,False,0.0,0.0
2019-07-01,100,0.0,,0.0,0.0
2019-07-02,0,0.0,,0.0,0.0
2019-07-03,44,0.0,,0.0,0.0
2019-07-04,0,0.0,,0.0,0.0
2019-07-05,82,0.0,,0.0,0.0
2019-07-06,0,0.0,,0.0,0.0
2019-07-07,0,0.0,False,0.0,0.0
2019-07-08,0,0.0,,0.0,0.0
2019-07-09,0,0.0,,0.0,0.0
2019-07-10,23,0.0,,0.0,0.0
2019-07-11,0,0.0,,0.0,0.0
2019-07-12,38,0.0,,0.0,0.0
2019-07-13,73,0.0,,0.0,0.0
2019-07-14,0,0.0,False,0.0,0.0
2019-07-15,56,0.0,,0.0,0.0
2019-07-16,0,0.0,,0.0,0.0
2019-07-17,0,0.0,,0.0,0.0
2019-07-18,35,0.0,,0.0,0.0
2019-07-19,0,0.0,,0.0,0.0
2019-07-20,0,0.0,,0.0,0.0
2019-07-21,26,37.0,False,0.37,9.62
2019-07-22,0,37.0,,0.37,0.0
2019-07-23,0,37.0,,0.37,0.0
2019-07-24,0,37.0,,0.37,0.0
2019-07-25,0,37.0,,0.37,0.0
2019-07-26,0,37.0,,0.37,0.0
2019-07-27,0,37.0,,0.37,0.0
2019-07-28,0,0.0,False,0.0,0.0
2019-07-29,0,0.0,,0.0,0.0
2019-07-30,42,0.0,,0.0,0.0
2019-07-31,89,0.0,,0.0,0.0
2019-08-01,0,0.0,,0.0,0.0
2019-08-02,0,0.0,,0.0,0.0
2019-08-03,0,0.0,,0.0,0.0
2019-08-04,0,0.0,False,0.0,0.0
2019-08-05,0,0.0,,0.0,0.0
2019-08-06,0,0.0,,0.0,0.0
2019-08-07,0,0.0,,0.0,0.0
2019-08-08,0,0.0,,0.0,0.0
2019-08-09,0,0.0,,0.0,0.0
2019-08-10,0,0.0,,0.0,0.0
2019-08-11,0,0.0,False,0.0,0.0
2019-08-12,61,0.0,,0.0,0.0
2019-08-13,0,0.0,,0.0,0.0
2019-08-14,0,0.0,,0.0,0.0
2019-08-15,0,0.0,,0.0,0.0
2019-08-16,0,0.0,,0.0,0.0
2019-08-17,0,0.0,,0.0,0.0
2019-08-18,0,0.0,False,0.0,0.0
2019-08-19,100,0.0,,0.0,0.0
2019-08-20,0,0.0,,0.0,0.0
2019-08-21,0,0.0,,0.0,0.0
2019-08-22,0,0.0,,0.0,0.0
2019-08-23,0,0.0,,0.0,0.0
2019-08-24,0,0.0,,0.0,0.0
2019-08-25,0,0.0,False,0.0,0.0
2019-08-26,0,0.0,,0.0,0.0
2019-08-27,0,0.0,,0.0,0.0
2019-08-28,0,0.0,,0.0,0.0
2019-08-29,0,0.0,,0.0,0.0
2019-08-30,0,0.0,,0.0,0.0
2019-08-31,0,0.0,,0.0,0.0
2019-09-01,0,0.0,False,0.0,0.0
2019-09-02,0,0.0,,0.0,0.0
2019-09-03,0,0.0,,0.0,0.0
2019-09-04,0,0.0,,0.0,0.0
2019-09-05,0,0.0,,0.0,0.0
2019-09-06,0,0.0,,0.0,0.0
2019-09-07,0,0.0,,0.0,0.0
2019-09-08,0,0.0,False,0.0,0.0
2019-09-09,0,0.0,,0.0,0.0
2019-09-10,29,0.0,,0.0,0.0
2019-09-11,0,0.0,,0.0,0.0
2019-09-12,0,0.0,,0.0,0.0
2019-09-13,0,0.0,,0.0,0.0
2019-09-14,0,0.0,,0.0,0.0
2019-09-15,0,0.0,False,0.0,0.0
2019-09-16,100,0.0,,0.0,0.0
2019-09-17,39,0.0,,0.0,0.0
2019-09-18,0,0.0,,0.0,0.0
2019-09-19,0,0.0,,0.0,0.0
2019-09-20,0,0.0,,0.0,0.0
2019-09-21,0,0.0,,0.0,0.0
2019-09-22,0,11.0,False,0.11,0.0
2019-09-23,0,11.0,,0.11,0.0
2019-09-24,0,11.0,,0.11,0.0
2019-09-25,25,11.0,,0.11,2.75
2019-09-26,24,11.0,,0.11,2.64
2019-09-27,39,11.0,,0.11,4.29
2019-09-28,0,11.0,,0.11,0.0
2019-09-29,0,0.0,False,0.0,0.0
2019-09-30,0,0.0,,0.0,0.0
2019-10-01,0,0.0,,0.0,0.0
2019-10-02,56,0.0,,0.0,0.0
2019-10-03,0,0.0,,0.0,0.0
2019-10-04,37,0.0,,0.0,0.0
2019-10-05,0,0.0,,0.0,0.0
2019-10-06,0,0.0,False,0.0,0.0
2019-10-07,0,0.0,,0.0,0.0
2019-10-08,0,0.0,,0.0,0.0
2019-10-09,0,0.0,,0.0,0.0
2019-10-10,0,0.0,,0.0,0.0
2019-10-11,0,0.0,,0.0,0.0
2019-10-12,0,0.0,,0.0,0.0
2019-10-13,0,0.0,False,0.0,0.0
2019-10-14,0,0.0,,0.0,0.0
2019-10-15,0,0.0,,0.0,0.0
2019-10-16,0,0.0,,0.0,0.0
2019-10-17,0,0.0,,0.0,0.0
2019-10-18,0,0.0,,0.0,0.0
2019-10-19,0,0.0,,0.0,0.0
2019-10-20,0,0.0,False,0.0,0.0
2019-10-21,0,0.0,,0.0,0.0
2019-10-22,0,0.0,,0.0,0.0
2019-10-23,0,0.0,,0.0,0.0
2019-10-24,0,0.0,,0.0,0.0
2019-10-25,0,0.0,,0.0,0.0
2019-10-26,0,0.0,,0.0,0.0
2019-10-27,0,0.0,False,0.0,0.0
2019-10-28,0,0.0,,0.0,0.0
2019-10-29,0,0.0,,0.0,0.0
2019-10-30,34,0.0,,0.0,0.0
2019-10-31,100,0.0,,0.0,0.0
2019-11-01,0,0.0,,0.0,0.0
2019-11-02,0,0.0,,0.0,0.0
2019-11-03,0,11.0,False,0.11,0.0
2019-11-04,0,11.0,,0.11,0.0
2019-11-05,0,11.0,,0.11,0.0
2019-11-06,0,11.0,,0.11,0.0
2019-11-07,0,11.0,,0.11,0.0
2019-11-08,67,11.0,,0.11,7.37
2019-11-09,0,11.0,,0.11,0.0
2019-11-10,0,0.0,False,0.0,0.0
2019-11-11,0,0.0,,0.0,0.0
2019-11-12,0,0.0,,0.0,0.0
2019-11-13,0,0.0,,0.0,0.0
2019-11-14,100,0.0,,0.0,0.0
2019-11-15,0,0.0,,0.0,0.0
2019-11-16,0,0.0,,0.0,0.0
2019-11-17,0,16.0,False,0.16,0.0
2019-11-18,0,16.0,,0.16,0.0
2019-11-19,0,16.0,,0.16,0.0
2019-11-20,0,16.0,,0.16,0.0
2019-11-21,0,16.0,,0.16,0.0
2019-11-22,0,16.0,,0.16,0.0
2019-11-23,0,16.0,,0.16,0.0
2019-11-24,0,12.0,False,0.12,0.0
2019-11-25,0,12.0,,0.12,0.0
2019-11-26,0,12.0,,0.12,0.0
2019-11-27,0,12.0,,0.12,0.0
2019-11-28,39,12.0,,0.12,4.68
2019-11-29,0,12.0,,0.12,0.0
2019-11-30,0,12.0,,0.12,0.0
2019-12-01,0,17.0,False,0.17,0.0
2019-12-02,0,17.0,,0.17,0.0
2019-12-03,74,17.0,,0.17,12.58
2019-12-04,59,17.0,,0.17,10.030000000000001
2019-12-05,0,17.0,,0.17,0.0
2019-12-06,56,17.0,,0.17,9.520000000000001
2019-12-07,0,17.0,,0.17,0.0
2019-12-08,29,0.0,False,0.0,0.0
2019-12-09,0,0.0,,0.0,0.0
2019-12-10,40,0.0,,0.0,0.0
2019-12-11,0,0.0,,0.0,0.0
2019-12-12,0,0.0,,0.0,0.0
2019-12-13,0,0.0,,0.0,0.0
2019-12-14,0,0.0,,0.0,0.0
2019-12-15,0,0.0,False,0.0,0.0
2019-12-16,0,0.0,,0.0,0.0
2019-12-17,0,0.0,,0.0,0.0
2019-12-18,100,0.0,,0.0,0.0
2019-12-19,56,0.0,,0.0,0.0
2019-12-20,0,0.0,,0.0,0.0
2019-12-21,0,0.0,,0.0,0.0
2019-12-22,0,0.0,False,0.0,0.0
2019-12-23,0,0.0,,0.0,0.0
2019-12-24,0,0.0,,0.0,0.0
2019-12-25,0,0.0,,0.0,0.0
2019-12-26,0,0.0,,0.0,0.0
2019-12-27,0,0.0,,0.0,0.0
2019-12-28,0,0.0,,0.0,0.0
2019-12-29,0,18.0,False,0.18,0.0
2019-12-30,0,18.0,,0.18,0.0
2019-12-31,42,18.0,,0.18,7.56
2020-01-01,55,18.0,,0.18,9.9
2020-01-02,0,18.0,,0.18,0.0
2020-01-03,0,18.0,,0.18,0.0
2020-01-04,100,18.0,,0.18,18.0
2020-01-05,0,0.0,False,0.0,0.0
2020-01-06,0,0.0,,0.0,0.0
2020-01-07,0,0.0,,0.0,0.0
2020-01-08,0,0.0,,0.0,0.0
2020-01-09,0,0.0,,0.0,0.0
2020-01-10,0,0.0,,0.0,0.0
2020-01-11,0,0.0,,0.0,0.0
2020-01-12,0,0.0,False,0.0,0.0
2020-01-13,73,0.0,,0.0,0.0
2020-01-14,0,0.0,,0.0,0.0
2020-01-15,0,0.0,,0.0,0.0
2020-01-16,38,0.0,,0.0,0.0
2020-01-17,0,0.0,,0.0,0.0
2020-01-18,0,0.0,,0.0,0.0
2020-01-19,0,23.0,False,0.23,0.0
2020-01-20,46,23.0,,0.23,10.58
2020-01-21,0,23.0,,0.23,0.0
2020-01-22,0,23.0,,0.23,0.0
2020-01-23,86,23.0,,0.23,19.78
2020-01-24,47,23.0,,0.23,10.81
2020-01-25,0,23.0,,0.23,0.0
2020-01-26,0,31.0,False,0.31,0.0
2020-01-27,75,31.0,,0.31,23.25
2020-01-28,67,31.0,,0.31,20.77
2020-01-29,0,31.0,,0.31,0.0
2020-01-30,96,31.0,,0.31,29.759999999999998
2020-01-31,0,31.0,,0.31,0.0
2020-02-01,0,31.0,,0.31,0.0
2020-02-02,0,0.0,False,0.0,0.0
2020-02-03,53,0.0,,0.0,0.0
2020-02-04,0,0.0,,0.0,0.0
2020-02-05,0,0.0,,0.0,0.0
2020-02-06,0,0.0,,0.0,0.0
2020-02-07,45,0.0,,0.0,0.0
2020-02-08,100,0.0,,0.0,0.0
2020-02-09,0,0.0,False,0.0,0.0
2020-02-10,45,0.0,,0.0,0.0
2020-02-11,0,0.0,,0.0,0.0
2020-02-12,0,0.0,,0.0,0.0
2020-02-13,0,0.0,,0.0,0.0
2020-02-14,0,0.0,,0.0,0.0
2020-02-15,0,0.0,,0.0,0.0
2020-02-16,0,0.0,False,0.0,0.0
2020-02-17,72,0.0,,0.0,0.0
2020-02-18,0,0.0,,0.0,0.0
2020-02-19,0,0.0,,0.0,0.0
2020-02-20,0,0.0,,0.0,0.0
2020-02-21,0,0.0,,0.0,0.0
2020-02-22,0,0.0,,0.0,0.0
2020-02-23,0,0.0,False,0.0,0.0
2020-02-24,0,0.0,,0.0,0.0
2020-02-25,0,0.0,,0.0,0.0
2020-02-26,0,0.0,,0.0,0.0
2020-02-27,35,0.0,,0.0,0.0
2020-02-28,0,0.0,,0.0,0.0
2020-02-29,0,0.0,,0.0,0.0
2020-03-01,0,0.0,False,0.0,0.0
2020-03-02,0,0.0,,0.0,0.0
2020-03-03,0,0.0,,0.0,0.0
2020-03-04,100,0.0,,0.0,0.0
2020-03-05,0,0.0,,0.0,0.0
2020-03-06,0,0.0,,0.0,0.0
2020-03-07,22,0.0,,0.0,0.0
2020-03-08,25,0.0,False,0.0,0.0
2020-03-09,0,0.0,,0.0,0.0
2020-03-10,15,0.0,,0.0,0.0
2020-03-11,0,0.0,,0.0,0.0
2020-03-12,0,0.0,,0.0,0.0
2020-03-13,0,0.0,,0.0,0.0
2020-03-14,0,0.0,,0.0,0.0
2020-03-15,0,0.0,False,0.0,0.0
2020-03-16,0,0.0,,0.0,0.0
2020-03-17,0,0.0,,0.0,0.0
2020-03-18,21,0.0,,0.0,0.0
2020-03-19,0,0.0,,0.0,0.0
2020-03-20,0,0.0,,0.0,0.0
2020-03-21,36,0.0,,0.0,0.0
2020-03-22,0,0.0,False,0.0,0.0
2020-03-23,30,0.0,,0.0,0.0
2020-03-24,0,0.0,,0.0,0.0
2020-03-25,0,0.0,,0.0,0.0
2020-03-26,0,0.0,,0.0,0.0
2020-03-27,0,0.0,,0.0,0.0
2020-03-28,0,0.0,,0.0,0.0
2020-03-29,0,0.0,False,0.0,0.0
2020-03-30,0,0.0,,0.0,0.0
2020-03-31,0,0.0,,0.0,0.0
2020-04-01,100,0.0,,0.0,0.0
2020-04-02,0,0.0,,0.0,0.0
2020-04-03,0,0.0,,0.0,0.0
2020-04-04,0,0.0,,0.0,0.0
2020-04-05,0,0.0,False,0.0,0.0
2020-04-06,0,0.0,,0.0,0.0
2020-04-07,0,0.0,,0.0,0.0
2020-04-08,0,0.0,,0.0,0.0
2020-04-09,0,0.0,,0.0,0.0
2020-04-10,0,0.0,,0.0,0.0
2020-04-11,0,0.0,,0.0,0.0
2020-04-12,0,0.0,False,0.0,0.0
2020-04-13,0,0.0,,0.0,0.0
2020-04-14,0,0.0,,0.0,0.0
2020-04-15,0,0.0,,0.0,0.0
